material_id,d33_value
mp-13099,-5.016748859757775e-16
mp-1479,4.16261876946093e-19
mp-1541,-6.505998300557357e-17
mp-1550,0.0
mp-1639,-2.7692753041291263e-18
mp-1700,9.836959301257476e-17
mp-1778,-1.6196537141964337e-17
mp-1986,1.2294045003975366e-15
mp-20012,-1.7123043586475686e-16
mp-20351,-1.159320571624517e-16
mp-2172,-5.079733792083016e-17
mp-2176,-3.763156773437968e-10
mp-22895,0.0005421912767706
mp-22913,-2.063472228116464e-15
mp-22914,-4.295324204548369e-15
mp-22925,-6.281792723147565e-15
mp-2293,-1.2718822696636268e-15
mp-2469,-8.63429007302644e-16
mp-2490,8.751217902660876e-17
mp-252,7.201662556529567e-17
mp-2534,1.2142125899884763e-16
mp-2624,-3.112253142159273e-17
mp-2691,-2.299581273150153e-16
mp-406,2.243271704412221e-17
mp-422,9.867274445602302e-18
mp-8062,4.521947576968562e-18
mp-830,1.3463378970763109e-17
mp-866291,-6.118077104322883e-15
mp-1021328,-6.844466207739307e-17
mp-1818,-7.57023796849113e-16
mp-561543,-3.791792941729741e-16
mp-11607,4.282774167161992e-18
mp-11661,-1.0338648152750811e-16
mp-15661,9.061266704225321e-17
mp-2852,5.320970320523203e-18
mp-556605,1.641320720324399e-17
mp-685097,-1.1651070023364376e-17
mp-22889,-11.633522058289076
mp-230,-4.756406818010813e-18
mp-28460,6.258860464330592e-16
mp-402,0.4480957111309107
mp-554089,4.169933113669812
mp-16964,0.2758217587540981
mp-23173,-5.4031131544946705e-15
mp-23297,-4.775197020516861e-17
mp-697111,4.048215732894244e-16
mp-717,-1.9281942462831163
mp-754401,1.817137405439932
mp-7667,2.6393037254906347e-17
mp-8781,5.8414752250931184e-15
mp-27726,-2.1377202940070958e-15
mp-12177,0.3907867225032919
mp-972808,0.0172006826345543
mp-1880,-0.47830995762388
mp-554573,0.0887860670371221
mp-13868,1.933148208327287
mp-27253,-1.712497849143961
mp-28096,37.77675461654465
mp-760432,4.3231282707603
mp-8943,-0.984233374256485
mp-1954,2.0793010176856472e-17
mp-22464,1.286903030423431e-17
mp-10426,-0.4304841352720568
mp-27821,2.354891989775336
mp-1340,-2.501348524133008
mp-344,0.801107864069775
mp-38970,-2.277083599915996
mp-539,3.137573377700841
mp-11025,0.0
mp-2739,0.0
mp-618991,0.0
mp-555434,5.639936439955614e-17
mp-557,0.0
mp-6945,0.0
mp-7457,0.0
mp-7623,0.0
mp-7812,0.0
mp-471,2.1041014912614702e-16
mp-29136,1.0791105323550348e-17
mp-1029652,-1.078292463957262e-17
mp-36940,0.7889613555117896
mp-1009828,3.426630061186001
mp-27255,2.225357716442588
mp-752463,-1.5203856754736718
mp-756638,-1.2718874062879344e-16
mp-760396,-2.2329510346520708e-17
mp-14983,-0.4283423050130356
mp-29157,0.8339341913312858
mp-753197,-0.4353816601043601
mp-774922,-1.598159089041533
mp-9198,-0.2561551550280316
mp-568032,1.3162595692432042e-16
mp-568598,7.785825405121093e-16
mp-570256,1.6963220749555774e-15
mp-861184,4.3293127057069164e-16
mp-8976,-6.401637209377303e-15
mp-4779,20.749385339611013
mp-28020,3.708263957590045e-16
mp-29362,-4.27826937231571e-16
mp-12903,-1.2076237235846872e-16
mp-4674,-9.55878150343596e-16
mp-606393,-5.275031364544099e-18
mp-1007823,0.0
mp-1008523,0.0
mp-1008528,0.0
mp-1008556,4.440892098500626e-16
mp-1017534,-2.775557561562892e-17
mp-753156,0.0
mp-971712,6.661338147750939e-16
mp-568556,4.2495450279978216e-19
mp-28782,1.7341803917957783e-16
mp-773864,-1.1102230246251563e-16
mp-1009087,3.8702666698608063e-17
mp-1009088,3.160376489830715e-17
mp-1013527,-3.2607214056837776e-17
mp-1016197,-2.8253003342707873e-16
mp-1029312,4.340728002616592e-16
mp-12954,1.0451098886452383e-17
mp-14091,2.0127930502162077e-17
mp-14092,1.0170400129365516e-16
mp-15701,-7.95471304117539e-16
mp-15703,2.3109230721380277e-18
mp-19833,5.954639452702033e-16
mp-20554,-3.740443065337136e-16
mp-20782,1.4847374333006708e-17
mp-22386,1.4948070302703857e-15
mp-22736,-3.7576250126571086e-16
mp-22811,-3.865188200014544e-16
mp-2961,-5.803852816145912e-16
mp-29826,-2.5732276220223647e-16
mp-3078,-3.3756479167452863e-16
mp-34293,-6.866287416585782e-17
mp-34903,-2.510549636631646e-16
mp-3524,-5.199800852312866e-16
mp-3595,5.720063179193998e-17
mp-3668,1.6976727745982479e-16
mp-3839,-3.491100745575403e-16
mp-4008,9.48087278093304e-17
mp-4175,6.037888625803897e-17
mp-4524,1.6552894620831472e-19
mp-4586,-3.445369224377409e-16
mp-4666,8.210990453223882e-17
mp-4756,7.736978303073967e-17
mp-4763,6.473416975733905e-17
mp-4840,-5.15436228465083e-17
mp-4899,2.9458316470459784e-16
mp-4979,-1.0813878228351919e-16
mp-5048,-1.7376097853626954e-16
mp-5213,-6.500757531007557e-17
mp-5238,-1.0159513403014798e-16
mp-5342,2.542519283704128e-16
mp-550433,1.141866151301901e-16
mp-5518,-5.172542190395843e-16
mp-5782,1.9259740330176792e-16
mp-758604,4.81977284666278e-14
mp-7801,5.887847149381925e-15
mp-8016,1.1840399839791147e-16
mp-8017,3.1795577800550386e-17
mp-5073,7.773501300036273
mp-1025315,-1.3018529480375885e-17
mp-1025340,-0.0041257022470838
mp-1025377,-2.529395100968355e-15
mp-22993,7.433573942387037e-16
mp-23353,1.5300519410429703e-16
mp-27888,2.3391410831466585e-17
mp-29091,-4.00885092912987e-17
mp-34169,-1.757401227521619e-16
mp-34467,-6.010465772498423e-17
mp-35539,-7.082189317476725e-17
mp-35777,-2.8215288347328276e-16
mp-38103,-1.9092426718180398e-16
mp-5461,-8.399264725242937e-16
mp-557373,7.324256355245514e-15
mp-568661,1.2148212676262318e-16
mp-675748,-1.7527427320654246e-16
mp-753195,-5.3537232254767445e-16
mp-760415,5.943727808347682e-16
mp-8311,3.553831307558086e-16
mp-861182,-8.985661715053853e-17
mp-9808,4.75120607735878e-18
mp-755478,-0.503538022812501
mp-4829,0.0
mp-504908,0.0
mp-3955,0.0
mp-12403,0.0
mp-4236,0.0
mp-756018,0.0
mp-1014244,1.454186528220837
mp-1014251,-1.3833087138428002
mp-22253,42.94705810565771
mp-22965,115.6790210608901
mp-29057,52.465892280211605
mp-33723,-147.44329223126908
mp-36209,-2.379477470351162
mp-567713,-64.09299382554923
mp-675180,-1.6768404064561002
mp-675349,2.698714410177846
mp-675902,-1.8928347248638997
mp-6980,-0.4206578167355184
mp-7885,-3.417861637852473
mp-27462,-1.3038735198585949e-15
mp-22958,-15.834887272130723
mp-28240,67.34966095621854
mp-28872,19.753195750999254
mp-29643,61.55161421055134
mp-30068,-996.8251683859972
mp-3107,-0.2829961388558865
mp-35308,738.4682116650054
mp-3532,-3.127285423096043
mp-4182,-3.844685485793006
mp-4559,5.888472681312502
mp-5020,-57.7344829585312
mp-541937,13.804014501353404
mp-568587,-1.4827901168921254
mp-7375,-63.189094967819535
mp-755018,36.519078777329526
mp-13334,-0.5925753763390285
mp-23736,1.2417571567703736
mp-3666,-7.093185135084182
mp-3731,5.012351896019019
mp-4431,-27.381345496422348
mp-4514,-15.927249493177936
mp-551918,11.816405951378984
mp-552185,-28.38884943992581
mp-754009,-3.616817725177349
mp-755568,-8.97213907436278
mp-768310,-34.92444023357111
mp-989524,-10.566309243746238
mp-30148,2.089346608127242e-18
mp-5492,-0.80316181977944
mp-36775,0.0
mp-29196,1.3893613175038355
mp-5859,2.9690149141656668
mp-31235,0.0
mp-4731,0.0
mp-8415,0.0
mp-17095,-6.186981905883808e-16
mp-18105,4.0949838995246936e-17
mp-23866,-2.1613124419258262e-16
mp-23963,1.6812440680041846e-15
mp-27579,1.884180288125831e-17
mp-27897,-1.3188670766108898e-16
mp-697136,1.4698598484237468e-16
mp-10161,0.0
mp-10614,0.0
mp-10615,0.0
mp-10616,0.0
mp-15687,0.0
mp-24012,0.0
mp-28797,0.0
mp-16363,-1.9644030434721245e-17
mp-23339,-6.8554974048879234e-18
mp-28980,1.6956853325130847e-16
mp-29379,1.156436238818793e-16
mp-3519,-3.2445546950735595e-16
mp-4876,9.772119212033777e-18
mp-756361,-1.8034271552070196e-16
mp-775761,-1.1775582920663823e-16
mp-7787,-2.273761127450614e-16
mp-8630,-9.349132825583796e-19
mp-761872,8.267615099744108e-18
mp-8624,-5.8174608208365734e-18
mp-4051,-1.0626177535182933e-15
mp-548403,-5.519475864068271e-16
mp-553932,-5.544864264986238e-17
mp-1029313,-0.8950436756376123
mp-14168,-3.0513372167054453
mp-23794,-3.732320760710901
mp-29529,-1.792418167379063
mp-3486,-6.219307893175756
mp-37657,8.392769224636194
mp-5055,-5.999469991869927
mp-545974,3.1435219243263504
mp-8389,-11.1847871515911
mp-9575,-6.52736119657312
mp-9919,-7.253911174288803
mp-530399,0.0
mp-5710,0.0
mp-1019380,1.9669997017174282e-17
mp-1019508,4.609127473658502e-17
mp-1019740,-2.7155776750534188e-17
mp-1019743,-1.6805382808742826e-17
mp-10748,1.0613811268162583e-17
mp-21855,1.6548972345657806e-16
mp-36248,1.6917236966488391e-16
mp-3762,1.947134804394909e-17
mp-4043,-2.856818737675117e-17
mp-4081,4.198220992162953e-17
mp-5621,-2.632017300594869e-19
mp-755309,-3.658006371047905e-18
mp-760375,-3.103527212006827e-17
mp-850275,-5.717574486801741e-18
mp-9295,6.486324370374798e-17
mp-991676,3.67659847609681e-17
mp-1025396,5.892820519961024e-16
mp-1025549,4.71664681862546e-16
mp-17862,-5.481357149276596e-17
mp-4812,1.948104112057898e-17
mp-5513,4.608448836534721e-16
mp-8703,-3.135696543980543e-15
mp-985584,7.426893093713126e-15
mp-23352,8.110975937321357e-17
mp-1029522,4.1477337399505447e-19
mp-5515,0.0028418224038071
mp-10182,-2.540154324313415e-16
mp-10623,-9.451367491554063e-17
mp-11390,-6.7369255124145296e-18
mp-11520,8.880938831097611e-17
mp-11836,1.5983847537810915e-16
mp-11869,-3.4523434012875924e-18
mp-1219553,1.9439999886031982e-16
mp-12411,-2.8660273019284204e-16
mp-12558,3.86889578688171e-17
mp-13308,-4.3299708103347653e-16
mp-15988,-7.637972085217062e-16
mp-16238,-3.431919220622477e-15
mp-16314,1.4968241655144659e-16
mp-16327,-8.150027916214868e-17
mp-16329,-1.0549459782117085e-16
mp-16376,-4.789103142329157e-17
mp-19886,1.7816840179073838e-16
mp-21272,2.366907795816585e-19
mp-22229,2.619628916857494e-16
mp-22786,-1.994772372095575e-16
mp-27608,-4.849265626868501e-18
mp-2885,-0.3206488459110441
mp-2894,-1.3966712854944807e-16
mp-30452,-2.3929146101347292e-17
mp-30459,3.725299387311584e-17
mp-30460,-7.416870354493339e-18
mp-30530,-8.817901759388927e-16
mp-30847,-8.257624846535803e-17
mp-31451,-4.84987648279169e-16
mp-31454,4.496610639043302e-16
mp-31455,1.7170775461627273e-15
mp-3161,-8.143733679632648e-17
mp-3432,1.9744571502821817e-17
mp-35208,-3.1354553114236797e-16
mp-36033,-2.996335065717305e-16
mp-36111,-5.565173593912297e-17
mp-36526,-4.383575458225594e-16
mp-3716,-1.0719199746783031e-16
mp-37381,-2.484202700574192e-16
mp-37906,-1.6293324393624017e-18
mp-38194,-1.0168439217759863e-16
mp-4025,4.051650479047998e-17
